Command,Name,Description,Operations,Data type,Units,Min,Max,Internal,Tab,Datamodel,Mapping
r_aqo_pm10,PM10,PM10,r,float,ug/m3,0,2000,No,Sensors.Air Quality,AirQualityObserved,pm10
rw_aqo_pm10_off,PM10 Offset,Specifies a fine-grained offset configured specifically for this sensor.,rw,float,ug/m3,-500,500,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_pm10_off
rw_aqo_pm10_gain,PM10 Gain,Specifies a fine-grained gain configured specifically for this sensor.,rw,float,dimensionless,0,100,No,Sensors.Air Quality,AirQualityObserved,rw_aqo_pm10_gain
r_aqo_tsp,TSP,TSP,r,float,ug/m3,0,2000,No,Sensors.Air Quality,AirQualityObserved,tsp
r_aqo_tpc,TPC,TPC,r,float,particles/cm3,0,2000,No,Sensors.Air Quality,AirQualityObserved,tpc
r_aqo_pm_bin0,PM Bin 0 Count,PM Counted Bin 0,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin0
r_aqo_pm_bin1,PM Bin 1 Count,PM Counted Bin 1,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin1
r_aqo_pm_bin2,PM Bin 2 Count,PM Counted Bin 2,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin2
r_aqo_pm_bin3,PM Bin 3 Count,PM Counted Bin 3,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin3
r_aqo_pm_bin4,PM Bin 4 Count,PM Counted Bin 4,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin4
r_aqo_pm_bin5,PM Bin 5 Count,PM Counted Bin 5,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin5
r_aqo_pm_bin6,PM Bin 6 Count,PM Counted Bin 6,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin6
r_aqo_pm_bin7,PM Bin 7 Count,PM Counted Bin 7,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin7
r_aqo_pm_bin8,PM Bin 8 Count,PM Counted Bin 8,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin8
r_aqo_pm_bin9,PM Bin 9 Count,PM Counted Bin 9,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin9
r_aqo_pm_bin10,PM Bin 10 Count,PM Counted Bin 10,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin10
r_aqo_pm_bin11,PM Bin 11 Count,PM Counted Bin 11,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin11
r_aqo_pm_bin12,PM Bin 12 Count,PM Counted Bin 12,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin12
r_aqo_pm_bin13,PM Bin 13 Count,PM Counted Bin 13,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin13
r_aqo_pm_bin14,PM Bin 14 Count,PM Counted Bin 14,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin14
r_aqo_pm_bin15,PM Bin 15 Count,PM Counted Bin 15,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin15
r_aqo_pm_bin16,PM Bin 16 Count,PM Counted Bin 16,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin16
r_aqo_pm_bin17,PM Bin 17 Count,PM Counted Bin 17,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin17
r_aqo_pm_bin18,PM Bin 18 Count,PM Counted Bin 18,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin18
r_aqo_pm_bin19,PM Bin 19 Count,PM Counted Bin 19,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin19
r_aqo_pm_bin20,PM Bin 20 Count,PM Counted Bin 20,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin20
r_aqo_pm_bin21,PM Bin 21 Count,PM Counted Bin 21,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin21
r_aqo_pm_bin22,PM Bin 22 Count,PM Counted Bin 22,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin22
r_aqo_pm_bin23,PM Bin 23 Count,PM Counted Bin 23,r,uint16_t,particles,0,2000,No,Sensors.Air Quality,AirQualityObserved,pmBin23
r_aqo_o2,O2 concentration,O2 concentration,r,uint8_t,%,0,100,No,Sensors.Air Quality,AirQualityObserved,o2
r_wto_ts,Timestamp,Timestamp WTO (GMT+0),r,uint64_t,dimensionless,N/A,N/A,No,Sensors.Weather,WeatherObserved,dateObserved
r_wto_humidity,Humidity,Humidity,r,float,%,0,100,No,Sensors.Weather,WeatherObserved,relativeHumidity
r_wto_temperature,Temperature,Temperature,r,float,Celsius,-40,125,No,Sensors.Weather,WeatherObserved,temperature
r_wto_pressure,Pressure,Pressure,r,float,hPa,300,1100,No,Sensors.Weather,WeatherObserved,atmosphericPressure
r_wto_dewpoint,Dew Point,Dew point,r,float,Celsius,N/A,N/A,No,Sensors.Weather,WeatherObserved,dewPoint
r_wto_windchill,Wind Chill,Wind chill,r,float,Celsius,N/A,N/A,No,Sensors.Weather,WeatherObserved,feelLikesTemperature
r_wto_rainrate,Rain,Rain,r,float,mm/h,N/A,N/A,No,Sensors.Weather,WeatherObserved,precipitation
r_wto_rain15a,Rain 15m,Rain 15m,r,float,mm/h,N/A,N/A,No,Sensors.Weather,WeatherObserved,precipitation15a
r_wto_rain24a,Rain 24h,Rain 24h,r,float,mm/h,N/A,N/A,No,Sensors.Weather,WeatherObserved,precipitation24a
r_wto_raindaily,Rain Daily,Rain daily,r,float,mm/h,N/A,N/A,No,Sensors.Weather,WeatherObserved,precipitationDaily
r_wto_windsp,Wind Speed,Wind speed,r,float,m/s,0,50,No,Sensors.Weather,WeatherObserved,windSpeed
r_wto_winddir,Wind Direction,Wind direction,r,float,degrees,0,360,No,Sensors.Weather,WeatherObserved,windDirection
r_wto_winddir_com,Wind Direction Compass,Wind direction compass,r,string,dimensionless,N/A,N/A,No,Sensors.Weather,WeatherObserved,windDirCompass
r_wto_etdaily,Evapotranspiration Daily,Evapotranspiration daily,r,float,mm,N/A,N/A,No,Sensors.Weather,WeatherObserved,etDaily
r_wto_solarrad,Solar Radiation,Solar radiation,r,float,W/m2,N/A,N/A,No,Sensors.Weather,WeatherObserved,solarRadiation
r_wto_uv,UV,UV,r,float,dimensionless,0,15,No,Sensors.Weather,WeatherObserved,uVIndexMax
r_wto_thswindex,THSW Index,THSW index,r,float,Celsius,N/A,N/A,No,Sensors.Weather,WeatherObserved,thswIndex
r_wto_windsp10m,Wind Speed 10m,Wind speed 10m,r,float,m/s,0,50,No,Sensors.Weather,WeatherObserved,windSpeed10m
r_wto_windspgust10m,Wind Speed Gust 10m,Wind speed gust 10m,r,float,m/s,0,50,No,Sensors.Weather,WeatherObserved,windSpeedGust10m
r_wto_winddirgust10m,Wind Direction Gust 10m,Wind direction gust 10m,r,float,degrees,0,360,No,Sensors.Weather,WeatherObserved,windDirectionGust10m
r_wto_stormrain,Storm Rain,Storm rain,r,float,mm/h,N/A,N/A,No,Sensors.Weather,WeatherObserved,stormRain
r_wto_dayrain,Day Rain,Day rain,r,float,mm/h,N/A,N/A,No,Sensors.Weather,WeatherObserved,dayRain
r_wto_monthrain,Month Rain,Month rain,r,float,mm/h,N/A,N/A,No,Sensors.Weather,WeatherObserved,monthRain
r_wto_yearrain,Year Rain,Year rain,r,float,mm/h,N/A,N/A,No,Sensors.Weather,WeatherObserved,yearRain
r_wto_rainlasth,Rain Last H,Rain last h,r,float,mm/h,N/A,N/A,No,Sensors.Weather,WeatherObserved,rainLastH
r_wto_etday,Evapotranspiration Day,Evapotranspiration day,r,float,mm,N/A,N/A,No,Sensors.Weather,WeatherObserved,etDay
r_wto_etmonth,Evapotranspiration Month,Evapotranspiration month,r,float,mm,N/A,N/A,No,Sensors.Weather,WeatherObserved,etMonth
r_wto_etyear,Evapotranspiration Year,Evapotranspiration year,r,float,mm,N/A,N/A,No,Sensors.Weather,WeatherObserved,etYear
r_wto_heatindex,Heat Index,Heat index,r,float,Celsius,N/A,N/A,No,Sensors.Weather,WeatherObserved,heatIndex
r_wto_lux,Luminosity,Luminosity,r,float,lux,0,N/A,No,Sensors.Weather,WeatherObserved,illuminance
r_nlo_ts,Timestamp,Timestamp NLO (GMT+0),r,uint64_t,dimensionless,N/A,N/A,No,Sensors.Sonometer,NoiseLevelObserved,dateObserved
w_nlo_calibrate,Calibrate Sonometer,Instructs to the device to carry out a calibration based on a reference provided. Please note that this resource should not be executed without a reference being exposed to the device. This process is carried out during the manufacturing or maintenance phase.,rw,bool,dimensionless,N/A,N/A,No,Sensors.sonometer,NoiseLevelObserved,rw_nlo_calibrate
rw_nlo_reference,Calibration Reference,Specifies the reference value that is exposed to the device during the calibration process. The common values used by references are 94dB or 114dB.,rw,uint8_t,dB,40,120,No,Sensors.Sonometer,NoiseLevelObserved,rw_nlo_reference
rw_nlo_offset,Offset,Specifies a fine-grained offset configured specifically for this sensor.,rw,int8_t,dB,-30,80,No,Sensors.Sonometer,NoiseLevelObserved,rw_nlo_offset
r_nlo_laeq,LAeq,LAeq,r,float,dB,10,140,No,Sensors.Sonometer,NoiseLevelObserved,LAeq
r_nlo_la1,LA1,LA1,r,float,dB,10,140,No,Sensors.Sonometer,NoiseLevelObserved,LA1
r_nlo_la10,LA10,LA10,r,float,dB,10,140,No,Sensors.Sonometer,NoiseLevelObserved,LA10
r_nlo_la50,LA50,LA50,r,float,dB,10,140,No,Sensors.Sonometer,NoiseLevelObserved,LA50
r_nlo_la90,LA90,LA90,r,float,dB,10,140,No,Sensors.Sonometer,NoiseLevelObserved,LA90
r_nlo_la99,LA99,LA99,r,float,dB,10,140,No,Sensors.Sonometer,NoiseLevelObserved,LA99
r_nlo_lamax,LAMax,LAMax,r,float,dB,10,140,No,Sensors.Sonometer,NoiseLevelObserved,LAmax
r_nlo_lamin,LAMin,LAMin,r,float,dB,10,140,No,Sensors.Sonometer,NoiseLevelObserved,LAmin
r_cfo_ts,Timestamp,Timestamp CFO (GMT+0),r,uint64_t,dimensionless,N/A,N/A,No,Sensors.Crowd Monitoring,CrowdFlowObserved,dateObserved
rw_cfo_shorti,Short Interval,Specifies the short counter interval (in minutes). This is also utilised as a report interval for both CFO and CFE reports. It is imperative that it is always lower than the medium and long counter intervals.,rw,uint8_t,minutes,1,3,No,Sensors.Crowd Monitoring,CrowdFlowObserved,rw_cfo_shorti
rw_cfo_mediumi,Medium Interval,Specifies the medium counter interval (in minutes). It is imperative that it is always greater than the short interval and less than the long interval.,rw,uint8_t,minutes,2,5,No,Sensors.Crowd Monitoring,CrowdFlowObserved,rw_cfo_mediumi
rw_cfo_longi,Long Interval,Specifies the long counter interval (in minutes). It is imperative that it is always greater than the short and medium intervals.,rw,uint8_t,minutes,3,10,No,Sensors.Crowd Monitoring,CrowdFlowObserved,rw_cfo_longi
rw_cfo_wifithr,Threshold WiFi,Specifies the dB threshold used to filter detections by distance in Wi-Fi technology. (-120dB is the maximum distance).,rw,int32_t,dbm,0,-120,No,Sensors.Crowd Monitoring,CrowdFlowObserved,rw_cfo_wifithr
rw_cfo_blethr,Threshold BLE,Specifies the dB threshold used to filter detections by distance in BLE technology. (-120dB is the maximum distance).,rw,int32_t,dbm,0,-120,No,Sensors.Crowd Monitoring,CrowdFlowObserved,rw_cfo_blethr
rw_cfo_macfilter,MAC Filter,Specifies the MAC randomisation filter that is used to filter detections. (1 = Count/Report non-randomised MACs / 2 = Count/Report randomised MACs / 3 = Count/Report all detected MACs).,rw,uint8_t,dimensionless,1,3,No,Sensors.Crowd Monitoring,CrowdFlowObserved,rw_cfo_macfilter
rw_cfo_techfilter,Technology Filter,Specifies the technology used for the detection. (0 = WiFi+BLE / 1 = WiFi / 2 = BLE).,rw,uint8_t,dimensionless,0,2,No,Sensors.Crowd Monitoring,CrowdFlowObserved,rw_cfo_techfilter
r_cfo_counts,Count Short Interval,Count Short Interval,r,uint32_t,dimensionless,0,N/A,No,Sensors.Crowd Monitoring,CrowdFlowObserved,peopleCountShortInterval
r_cfo_countm,Count Medium Interval,Count Medium Interval,r,uint32_t,dimensionless,0,N/A,No,Sensors.Crowd Monitoring,CrowdFlowObserved,peopleCountMediumInterval
r_cfo_countl,Count Long Interval,Count Long Interval,r,uint32_t,dimensionless,0,N/A,No,Sensors.Crowd Monitoring,CrowdFlowObserved,peopleCountLongInterval
r_cfe_ts,Timestamp,Timestamp CFE (GMT+0),r,uint64_t,dimensionless,N/A,N/A,No,Sensors.Crowd Monitoring ID,CrowdFlowEvent,dateObserved
rw_cfe_enable,Enable Report MAC,Specifies whether the device should report all the detected MACs and their related information. Please be advised that selecting this option will result in an increase in data transmission consumption.,rw,bool,dimensionless,N/A,N/A,No,Sensors.Crowd Monitoring ID,CrowdFlowEvent,rw_cfe_enable
r_cfe_block,MAC,MAC,r,Object,dimensionless,N/A,N/A,No,Sensors.Crowd Monitoring ID,CrowdFlowEvent,cfeBlock
r_cfe_timeinstant,Detection Timestamp,Timestamp of detection,r,DateTime,dimensionless,N/A,N/A,No,Sensors.Crowd Monitoring ID,CrowdFlowEvent,timestamp
r_cfe_detectType,Detection Type,Detection Type,r,string,dimensionless,N/A,N/A,No,Sensors.Crowd Monitoring ID,CrowdFlowEvent,detectionType
r_cfe_visitorId,Visitor ID,Visitor ID,r,string,dimensionless,N/A,N/A,No,Sensors.Crowd Monitoring ID,CrowdFlowEvent,visitorId
r_cfe_random,Random,Random MAC,r,uint8_t,dimensionless,0,2,No,Sensors.Crowd Monitoring ID,CrowdFlowEvent,random
r_cfe_rssi,RSSI,RSSI,r,int16_t,dBm,N/A,N/A,No,Sensors.Crowd Monitoring ID,CrowdFlowEvent,rssi
r_cfe_ssid,SSID,SSID,r,string,dimensionless,N/A,N/A,No,Sensors.Crowd Monitoring ID,CrowdFlowEvent,ssid
r_cfe_signature,Signature,Signature,r,string,dimensionless,N/A,N/A,No,Sensors.Crowd Monitoring ID,CrowdFlowEvent,signature
r_irr_ts,Timestamp,Timestamp Irrigation (GMT+0),r,uint64_t,dimensionless,N/A,N/A,No,Sensors.Irrigation,Irrigation,dateObserved
r_irr_dbg_ev,Events,Events generated or received into the service,r,string,dimensionless,N/A,N/A,No,Sensors.Irrigation,Irrigation,events
r_irr_water_cnt,Water Counter,Water measured by the device,r,uint64_t,dimensionless,N/A,N/A,No,Sensors.Irrigation,Irrigation,waterCounter
rw_irr_reset_water_counter,Reset water counter,Reset the water meter to 0,rw,bool,dimensionless,N/A,N/A,No,Irrigation,Irrigation,rw_irr_reset_water_counter
rw_irr_sync_time,Node Sync Time,Time of day to synchronise the irrigation nodes (HH:MM),rw,string,dimensionless,N/A,N/A,No,Irrigation,Irrigation,rw_irr_sync_time
r_irr_ev1_cmd,Electrovalve 1 Command,Desired electrovalve state commanded by the master controller. 1 is open and 0 is closed,r,uint8_t,dimensionless,0,1,No,Sensors.Irrigation,Irrigation,electrovalve1Command
r_irr_ev2_cmd,Electrovalve 2 Command,Desired electrovalve state commanded by the master controller. 1 is open and 0 is closed,r,uint8_t,dimensionless,0,1,No,Sensors.Irrigation,Irrigation,electrovalve2Command
r_irr_ev3_cmd,Electrovalve 3 Command,Desired electrovalve state commanded by the master controller. 1 is open and 0 is closed,r,uint8_t,dimensionless,0,1,No,Sensors.Irrigation,Irrigation,electrovalve3Command
r_irr_ev4_cmd,Electrovalve 4 Command,Desired electrovalve state commanded by the master controller. 1 is open and 0 is closed,r,uint8_t,dimensionless,0,1,No,Sensors.Irrigation,Irrigation,electrovalve4Command
r_irr_ev5_cmd,Electrovalve 5 Command,Desired electrovalve state commanded by the master controller. 1 is open and 0 is closed,r,uint8_t,dimensionless,0,1,No,Sensors.Irrigation,Irrigation,electrovalve5Command
r_irr_ev6_cmd,Electrovalve 6 Command,Desired electrovalve state commanded by the master controller. 1 is open and 0 is closed,r,uint8_t,dimensionless,0,1,No,Sensors.Irrigation,Irrigation,electrovalve6Command
r_irr_ev7_cmd,Electrovalve 7 Command,Desired electrovalve state commanded by the master controller. 1 is open and 0 is closed,r,uint8_t,dimensionless,0,1,No,Sensors.Irrigation,Irrigation,electrovalve7Command
r_irr_ev8_cmd,Electrovalve 8 Command,Desired electrovalve state commanded by the master controller. 1 is open and 0 is closed,r,uint8_t,dimensionless,0,1,No,Sensors.Irrigation,Irrigation,electrovalve8Command
r_irr_ev9_cmd,Electrovalve 9 Command,Desired electrovalve state commanded by the master controller. 1 is open and 0 is closed,r,uint8_t,dimensionless,0,1,No,Sensors.Irrigation,Irrigation,electrovalve9Command
r_irr_ev10_cmd,Electrovalve 10 Command,Desired electrovalve state commanded by the master controller. 1 is open and 0 is closed,r,uint8_t,dimensionless,0,1,No,Sensors.Irrigation,Irrigation,electrovalve10Command
r_irr_ev11_cmd,Electrovalve 11 Command,Desired electrovalve state commanded by the master controller. 1 is open and 0 is closed,r,uint8_t,dimensionless,0,1,No,Sensors.Irrigation,Irrigation,electrovalve11Command
r_irr_ev12_cmd,Electrovalve 12 Command,Desired electrovalve state commanded by the master controller. 1 is open and 0 is closed,r,uint8_t,dimensionless,0,1,No,Sensors.Irrigation,Irrigation,electrovalve12Command
r_irr_ev13_cmd,Electrovalve 13 Command,Desired electrovalve state commanded by the master controller. 1 is open and 0 is closed,r,uint8_t,dimensionless,0,1,No,Sensors.Irrigation,Irrigation,electrovalve13Command
r_irr_ev14_cmd,Electrovalve 14 Command,Desired electrovalve state commanded by the master controller. 1 is open and 0 is closed,r,uint8_t,dimensionless,0,1,No,Sensors.Irrigation,Irrigation,electrovalve14Command
r_irr_ev15_cmd,Electrovalve 15 Command,Desired electrovalve state commanded by the master controller. 1 is open and 0 is closed,r,uint8_t,dimensionless,0,1,No,Sensors.Irrigation,Irrigation,electrovalve15Command
r_irr_ev16_cmd,Electrovalve 16 Command,Desired electrovalve state commanded by the master controller. 1 is open and 0 is closed,r,uint8_t,dimensionless,0,1,No,Sensors.Irrigation,Irrigation,electrovalve16Command
rw_irr_mst_addr,Master Device Address,LoRa master device address,rw,uint8_t,dimensionless,1,256,No,Irrigation.Master,Irrigation,rw_irr_mst_addr
rw_irr_mst_airdr,Master Air Data Rate,LoRa master air data rate (0: 0.3k 1: 1.2k 2: 2.4k 3: 4.8k 4: 9.6k 5: 19.2k),rw,uint8_t,dimensionless,0,5,No,Irrigation.Master,Irrigation,rw_irr_mst_airdr
rw_irr_mst_dbg,Node Communication Debug,Enable node communication messages reporting via MQTT (false: disabled true: enabled),rw,bool,dimensionless,N/A,N/A,No,Irrigation.Master,Irrigation,rw_irr_mst_dbg
rw_irr_mst_ch,Master Device Channel,LoRa master communication channel (only 32 channels),rw,uint8_t,dimensionless,0,31,No,Irrigation.Master,Irrigation,rw_irr_mst_ch
rw_irr_mst_wut,Wireless Wake Up Time,LoRa wireless wake-up time (0: 250ms 1: 500ms 2: 750ms 3: 1000ms 4: 1250ms 5: 1500ms 6: 1750ms 7: 2000ms),rw,uint8_t,dimensionless,0,7,No,Irrigation.Master,Irrigation,rw_irr_mst_wut
rw_irr_node_1_addr,Node 1 Address,Address of the slave node 1,rw,uint8_t,dimensionless,2,256,No,Irrigation.Node,Irrigation,rw_irr_node_1_addr
rw_irr_node_1_ch,Node 1 Channel,Channel of the slave node 1,rw,uint8_t,dimensionless,0,31,No,Irrigation.Node,Irrigation,rw_irr_node_1_ch
rw_irr_node_1_out,Node 1 Output,Output of the solenoid valve of the slave node 1,rw,uint8_t,dimensionless,0,6,No,Irrigation.Node,Irrigation,rw_irr_node_1_out
r_irr_node_1_pos,Node 1 Position,Position indicated by the master for node 1 (0: close 1: open),r,uint8_t,dimensionless,0,1,No,Irrigation.Node,Irrigation,node1Position
rw_irr_node_2_addr,Node 2 Address,Address of the slave node 2,rw,uint8_t,dimensionless,2,256,No,Irrigation.Node,Irrigation,rw_irr_node_2_addr
rw_irr_node_2_ch,Node 2 Channel,Channel of the slave node 2,rw,uint8_t,dimensionless,0,31,No,Irrigation.Node,Irrigation,rw_irr_node_2_ch
rw_irr_node_2_out,Node 2 Output,Output of the solenoid valve of the slave node 2,rw,uint8_t,dimensionless,0,6,No,Irrigation.Node,Irrigation,rw_irr_node_2_out
r_irr_node_2_pos,Node 2 Position,Position indicated by the master for node 2 (0: close 1: open),r,uint8_t,dimensionless,0,1,No,Irrigation.Node,Irrigation,node2Position
rw_irr_node_3_addr,Node 3 Address,Address of the slave node 3,rw,uint8_t,dimensionless,2,256,No,Irrigation.Node,Irrigation,rw_irr_node_3_addr
rw_irr_node_3_ch,Node 3 Channel,Channel of the slave node 3,rw,uint8_t,dimensionless,0,31,No,Irrigation.Node,Irrigation,rw_irr_node_3_ch
rw_irr_node_3_out,Node 3 Output,Output of the solenoid valve of the slave node 3,rw,uint8_t,dimensionless,0,6,No,Irrigation.Node,Irrigation,rw_irr_node_3_out
r_irr_node_3_pos,Node 3 Position,Position indicated by the master for node 3 (0: close 1: open),r,uint8_t,dimensionless,0,1,No,Irrigation.Node,Irrigation,node3Position
rw_irr_node_4_addr,Node 4 Address,Address of the slave node 4,rw,uint8_t,dimensionless,2,256,No,Irrigation.Node,Irrigation,rw_irr_node_4_addr
rw_irr_node_4_ch,Node 4 Channel,Channel of the slave node 4,rw,uint8_t,dimensionless,0,31,No,Irrigation.Node,Irrigation,rw_irr_node_4_ch
rw_irr_node_4_out,Node 4 Output,Output of the solenoid valve of the slave node 4,rw,uint8_t,dimensionless,0,6,No,Irrigation.Node,Irrigation,rw_irr_node_4_out
r_irr_node_4_pos,Node 4 Position,Position indicated by the master for node 4 (0: close 1: open),r,uint8_t,dimensionless,0,1,No,Irrigation.Node,Irrigation,node4Position
rw_irr_node_5_addr,Node 5 Address,Address of the slave node 5,rw,uint8_t,dimensionless,2,256,No,Irrigation.Node,Irrigation,rw_irr_node_5_addr
rw_irr_node_5_ch,Node 5 Channel,Channel of the slave node 5,rw,uint8_t,dimensionless,0,31,No,Irrigation.Node,Irrigation,rw_irr_node_5_ch
rw_irr_node_5_out,Node 5 Output,Output of the solenoid valve of the slave node 5,rw,uint8_t,dimensionless,0,6,No,Irrigation.Node,Irrigation,rw_irr_node_5_out
r_irr_node_5_pos,Node 5 Position,Position indicated by the master for node 5 (0: close 1: open),r,uint8_t,dimensionless,0,1,No,Irrigation.Node,Irrigation,node5Position
rw_irr_node_6_addr,Node 6 Address,Address of the slave node 6,rw,uint8_t,dimensionless,2,256,No,Irrigation.Node,Irrigation,rw_irr_node_6_addr
rw_irr_node_6_ch,Node 6 Channel,Channel of the slave node 6,rw,uint8_t,dimensionless,0,31,No,Irrigation.Node,Irrigation,rw_irr_node_6_ch
rw_irr_node_6_out,Node 6 Output,Output of the solenoid valve of the slave node 6,rw,uint8_t,dimensionless,0,6,No,Irrigation.Node,Irrigation,rw_irr_node_6_out
r_irr_node_6_pos,Node 6 Position,Position indicated by the master for node 6 (0: close 1: open),r,uint8_t,dimensionless,0,1,No,Irrigation.Node,Irrigation,node6Position
rw_irr_node_7_addr,Node 7 Address,Address of the slave node 7,rw,uint8_t,dimensionless,2,256,No,Irrigation.Node,Irrigation,rw_irr_node_7_addr
rw_irr_node_7_ch,Node 7 Channel,Channel of the slave node 7,rw,uint8_t,dimensionless,0,31,No,Irrigation.Node,Irrigation,rw_irr_node_7_ch
rw_irr_node_7_out,Node 7 Output,Output of the solenoid valve of the slave node 7,rw,uint8_t,dimensionless,0,6,No,Irrigation.Node,Irrigation,rw_irr_node_7_out
r_irr_node_7_pos,Node 7 Position,Position indicated by the master for node 7 (0: close 1: open),r,uint8_t,dimensionless,0,1,No,Irrigation.Node,Irrigation,node7Position
rw_irr_node_8_addr,Node 8 Address,Address of the slave node 8,rw,uint8_t,dimensionless,2,256,No,Irrigation.Node,Irrigation,rw_irr_node_8_addr
rw_irr_node_8_ch,Node 8 Channel,Channel of the slave node 8,rw,uint8_t,dimensionless,0,31,No,Irrigation.Node,Irrigation,rw_irr_node_8_ch
rw_irr_node_8_out,Node 8 Output,Output of the solenoid valve of the slave node 8,rw,uint8_t,dimensionless,0,6,No,Irrigation.Node,Irrigation,rw_irr_node_8_out
r_irr_node_8_pos,Node 8 Position,Position indicated by the master for node 8 (0: close 1: open),r,uint8_t,dimensionless,0,1,No,Irrigation.Node,Irrigation,node8Position
rw_irr_node_9_addr,Node 9 Address,Address of the slave node 9,rw,uint8_t,dimensionless,2,256,No,Irrigation.Node,Irrigation,rw_irr_node_9_addr
rw_irr_node_9_ch,Node 9 Channel,Channel of the slave node 9,rw,uint8_t,dimensionless,0,31,No,Irrigation.Node,Irrigation,rw_irr_node_9_ch
rw_irr_node_9_out,Node 9 Output,Output of the solenoid valve of the slave node 9,rw,uint8_t,dimensionless,0,6,No,Irrigation.Node,Irrigation,rw_irr_node_9_out
r_irr_node_9_pos,Node 9 Position,Position indicated by the master for node 9 (0: close 1: open),r,uint8_t,dimensionless,0,1,No,Irrigation.Node,Irrigation,node9Position
rw_irr_node_10_addr,Node 10 Address,Address of the slave node 10,rw,uint8_t,dimensionless,2,256,No,Irrigation.Node,Irrigation,rw_irr_node_10_addr
rw_irr_node_10_ch,Node 10 Channel,Channel of the slave node 10,rw,uint8_t,dimensionless,0,31,No,Irrigation.Node,Irrigation,rw_irr_node_10_ch
rw_irr_node_10_out,Node 10 Output,Output of the solenoid valve of the slave node 10,rw,uint8_t,dimensionless,0,6,No,Irrigation.Node,Irrigation,rw_irr_node_10_out
r_irr_node_10_pos,Node 10 Position,Position indicated by the master for node 10 (0: close 1: open),r,uint8_t,dimensionless,0,1,No,Irrigation.Node,Irrigation,node10Position
rw_irr_node_11_addr,Node 11 Address,Address of the slave node 11,rw,uint8_t,dimensionless,2,256,No,Irrigation.Node,Irrigation,rw_irr_node_11_addr
rw_irr_node_11_ch,Node 11 Channel,Channel of the slave node 11,rw,uint8_t,dimensionless,0,31,No,Irrigation.Node,Irrigation,rw_irr_node_11_ch
rw_irr_node_11_out,Node 11 Output,Output of the solenoid valve of the slave node 11,rw,uint8_t,dimensionless,0,6,No,Irrigation.Node,Irrigation,rw_irr_node_11_out
r_irr_node_11_pos,Node 11 Position,Position indicated by the master for node 11 (0: close 1: open),r,uint8_t,dimensionless,0,1,No,Irrigation.Node,Irrigation,node11Position
rw_irr_node_12_addr,Node 12 Address,Address of the slave node 12,rw,uint8_t,dimensionless,2,256,No,Irrigation.Node,Irrigation,rw_irr_node_12_addr
rw_irr_node_12_ch,Node 12 Channel,Channel of the slave node 12,rw,uint8_t,dimensionless,0,31,No,Irrigation.Node,Irrigation,rw_irr_node_12_ch
rw_irr_node_12_out,Node 12 Output,Output of the solenoid valve of the slave node 12,rw,uint8_t,dimensionless,0,6,No,Irrigation.Node,Irrigation,rw_irr_node_12_out
r_irr_node_12_pos,Node 12 Position,Position indicated by the master for node 12 (0: close 1: open),r,uint8_t,dimensionless,0,1,No,Irrigation.Node,Irrigation,node12Position
rw_irr_node_13_addr,Node 13 Address,Address of the slave node 13,rw,uint8_t,dimensionless,2,256,No,Irrigation.Node,Irrigation,rw_irr_node_13_addr
rw_irr_node_13_ch,Node 13 Channel,Channel of the slave node 13,rw,uint8_t,dimensionless,0,31,No,Irrigation.Node,Irrigation,rw_irr_node_13_ch
rw_irr_node_13_out,Node 13 Output,Output of the solenoid valve of the slave node 13,rw,uint8_t,dimensionless,0,6,No,Irrigation.Node,Irrigation,rw_irr_node_13_out
